商户账户编号,清算日期,下单时间,交易时间,客户消费订单号,消费交易流水号,消费金额,实收金额,收费方式,收款方手续费,支付产品,商品类别,商品名称,支付卡类型
10000418926,2015-05-18,2015-05-18 08:45:03,2015-05-18 08:46:34,2015051808312965,411505183150322167,0.02,0.02,实收,0.0,移动端WEB支付,1,订单号-2015051808312965,银行借记卡
10000418926,2015-05-18,2015-05-18 09:57:10,2015-05-18 09:57:37,1505181926768010,411505183583052095,0.01,0.01,实收,0.0,绑卡API,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 10:00:42,2015-05-18 10:00:56,wyj_InstantPay_request_001001,411505183604295574,0.01,0.01,实收,0.0,移动端WEB支付,1,???é????????-???è??,银行贷记卡
10000418926,2015-05-18,2015-05-18 10:39:35,2015-05-18 10:40:01,1505181025977807,411505183837546095,0.01,0.01,实收,0.0,绑卡API,1,米财85天计划1号,银行借记卡
10000418926,2015-05-18,2015-05-18 10:42:03,2015-05-18 10:42:27,2015051810283123,411505183852370681,0.02,0.02,实收,0.0,移动端WEB支付,1,订单号-2015051810283123,银行借记卡
10000418926,2015-05-18,2015-05-18 10:53:23,2015-05-18 10:56:47,AC20150518105322561966,411505183920331619,0.02,0.02,实收,0.0,移动端WEB支付,1,充值,银行借记卡
10000418926,2015-05-18,2015-05-18 11:06:26,2015-05-18 11:06:35,2015051810525455,411505183998626191,0.02,0.02,实收,0.0,移动端WEB支付,1,订单号-2015051810525455,银行借记卡
10000418926,2015-05-18,2015-05-18 11:07:20,2015-05-18 11:07:33,2015051810534823,411505184004033115,0.02,0.02,实收,0.0,移动端WEB支付,1,订单号-2015051810534823,银行借记卡
10000418926,2015-05-18,2015-05-18 11:08:32,2015-05-18 11:08:39,2015051810550023,411505184011241808,0.02,0.02,实收,0.0,移动端WEB支付,1,订单号-2015051810550023,银行借记卡
10000418926,2015-05-18,2015-05-18 11:23:00,2015-05-18 11:23:13,Y20150518112258173oMFH4,411505184098048456,0.01,0.01,实收,0.0,移动端WEB支付,1,车牛-付款,银行借记卡
10000418926,2015-05-18,2015-05-18 11:29:42,2015-05-18 11:30:16,1505181990986535,411505184138238434,0.01,0.01,实收,0.0,绑卡API,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 13:11:46,2015-05-18 13:12:05,1505182087482945,411505184750696953,0.01,0.01,实收,0.0,绑卡API,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 13:38:25,2015-05-18 13:42:39,60020150518443346475,411505184910565956,1.0,1.0,实收,0.0,PC端WEB支付,1,油卡充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 13:59:26,2015-05-18 13:59:55,60020150518443366475,411505185036640371,1.0,1.0,实收,0.0,PC端WEB支付,1,油卡充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 14:03:53,2015-05-18 14:04:48,1505182022208971,411505185063308686,0.01,0.01,实收,0.0,移动端WEB支付,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 14:09:53,2015-05-18 14:11:06,60020150518443377475,411505185099381326,1.0,1.0,实收,0.0,PC端WEB支付,1,油卡充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 14:15:33,2015-05-18 14:17:44,60020150518447777475,411505185133358597,1.0,1.0,实收,0.0,移动端WEB支付,1,油卡充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 14:55:40,2015-05-18 14:56:21,1505180173535064,411505185374045272,0.01,0.01,实收,0.0,移动端WEB支付,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 15:24:05,2015-05-18 15:24:52,1505181171561813,411505185544584747,0.01,0.01,实收,0.0,移动端WEB支付,1,13米财理财产品-1,银行借记卡
10000418926,2015-05-18,2015-05-18 17:06:16,2015-05-18 17:07:52,60020150518170613812,411505186157618562,0.02,0.02,实收,0.0,PC端WEB支付,1,账户充值,银行借记卡
10000418926,2015-05-18,2015-05-18 17:33:36,2015-05-18 17:35:16,60020150518173333080,411505186321628207,0.01,0.01,实收,0.0,PC端WEB支付,1,账户充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 17:42:39,2015-05-18 17:43:29,60020150518446777222,411505186375944052,0.01,0.01,实收,0.0,PC端WEB支付,1,油卡充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 17:47:57,2015-05-18 17:48:40,60020150518174755064,411505186407716242,0.1,0.1,实收,0.0,PC端WEB支付,1,账户充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 18:10:28,2015-05-18 18:10:48,60020150518181026815,411505186542802517,0.02,0.02,实收,0.0,PC端WEB支付,1,账户充值,银行贷记卡
10000418926,2015-05-18,2015-05-18 18:20:59,2015-05-18 18:21:41,60020150518182056800,411505186605938981,0.03,0.03,实收,0.0,PC端WEB支付,1,账户充值,银行贷记卡
